Time,Shank,Thigh,Wrist
1,-1.761451892,-3.899539094,-3.357504736
2,-1.723544491,-3.805413255,-3.381083339
3,-1.60384755,-3.535559659,-3.363290502
4,-1.456341509,-3.24187295,-3.316203431
5,-1.302182038,-3.015696532,-3.247073634
6,-1.249322671,-2.842854594,-3.153147023
7,-1.345445534,-2.674530424,-3.036706787
8,-1.34240546,-2.496878296,-2.902473714
9,-1.010394932,-2.348209152,-2.752657912
10,-0.576866996,-2.271676617,-2.586766674
11,-0.438498459,-2.231628866,-2.403003624
12,-0.644497314,-2.183813477,-2.203065537
13,-0.898964989,-2.110123193,-2.001421246
14,-1.045278242,-2.020320174,-1.788632711
15,-1.057042817,-1.926858191,-1.567064452
16,-0.886318244,-1.85494016,-1.33206758
17,-0.439282131,-1.798451808,-1.081276399
18,0.280917014,-1.771303105,-0.822829406
19,0.959239424,-1.769201509,-0.561185124
20,1.354361848,-1.781775644,-0.286023827
21,1.556813013,-1.782672109,-0.021455721
22,1.820865325,-1.759397995,0.255953403
23,2.256527836,-1.722300307,0.569268813
24,2.737722775,-1.631857062,0.944060565
25,3.11341326,-1.569423539,1.381175574
26,3.306686312,-1.554583134,1.832538407
27,3.396346262,-1.592048565,2.218929392
28,3.492427651,-1.706333045,2.483392591
29,3.599909861,-1.711557499,2.603134433
30,3.678827379,-1.46349154,2.597794225
31,3.679587721,-1.116172022,2.560263657
32,3.592740607,-0.793833888,2.574579258
33,3.493436402,-0.578073888,2.666626983
34,3.426434662,-0.45569538,2.80232462
35,3.355924978,-0.039304512,2.920746291
36,3.268301537,0.672990595,2.981207753
37,3.110340784,1.541367295,2.97394092
38,2.893214574,2.443004017,2.91729322
39,2.54790885,3.209386074,2.844495234
40,2.160278393,3.768253538,2.784807605
41,1.698618644,3.985744439,2.750215596
42,1.018882688,3.831565065,2.739097873
43,0.497339908,3.505972631,2.741785363
44,-0.107370534,3.275099004,2.751889384
45,-0.758645482,3.172783878,2.763243441
46,-1.42033194,3.135026026,2.766657026
47,-1.98885396,3.139195251,2.769637429
48,-2.123478241,3.196823753,2.770350557
49,-1.526687028,3.30888184,2.749233719
50,-2.218899515,3.4053345,2.691073126
51,-3.670936232,3.374487697,2.596270724
52,-3.621236176,3.219561022,2.47932953
53,-3.040489056,2.999941202,2.358548643
54,-3.113200277,2.735600051,2.255716774
55,-2.916510436,2.448884944,2.181246179
56,-2.344502936,2.197934642,2.128210678
57,-1.81168246,1.98993711,2.084200665
58,-1.456961015,1.825277074,2.029607481
59,-1.200130662,1.683795893,1.944768831
60,-0.865790721,1.548126964,1.848853713
61,-0.587898445,1.411621384,1.786994285
62,-0.464849948,1.241327059,1.772669843
63,-0.546039854,0.99213055,1.799251245
64,-0.760400318,0.669174343,1.852037446
